filename,frame_id,chance,side,bool,value
instance_0017_75.png,75,True,right,True,0.10693
instance_0017_76.png,76,True,right,True,0.06418
instance_0017_77.png,77,True,right,True,0.03116
instance_0017_78.png,78,True,right,True,0.01908
instance_0017_79.png,79,True,right,True,0.00662
instance_0017_80.png,80,True,right,True,0.04236
instance_0017_81.png,81,True,right,True,0.03026
instance_0017_82.png,82,True,right,True,0.02863
instance_0017_83.png,83,True,right,True,0.00406
instance_0017_84.png,84,True,right,True,0.01546
instance_0017_85.png,85,True,right,True,-0.01173
instance_0017_86.png,86,True,right,True,-0.02401
instance_0017_87.png,87,True,right,True,-0.02543
instance_0017_88.png,88,True,right,True,-0.03595
instance_0017_89.png,89,True,right,True,-0.0395
instance_0017_90.png,90,True,right,True,-0.05288
instance_0017_91.png,91,True,right,True,-0.07178
instance_0017_92.png,92,True,right,True,-0.07986
instance_0017_93.png,93,True,right,True,-0.06361
instance_0017_94.png,94,True,right,True,-0.05385
instance_0017_95.png,95,True,right,True,-0.03656
instance_0017_96.png,96,True,right,True,-0.02134
instance_0017_97.png,97,True,right,True,-0.01633
instance_0017_98.png,98,True,right,True,-0.00718
instance_0017_99.png,99,True,right,True,-0.00823
instance_0017_100.png,100,True,right,True,-0.03801
instance_0017_101.png,101,True,right,True,-0.05331
instance_0017_102.png,102,True,right,True,-0.04488
instance_0017_103.png,103,True,right,True,-0.05695
instance_0017_104.png,104,True,right,True,-0.05528
instance_0017_105.png,105,True,right,True,-0.0338
instance_0017_106.png,106,True,right,True,-0.02608
instance_0017_107.png,107,True,right,True,-0.01516
instance_0017_108.png,108,True,right,True,-0.03306
instance_0017_109.png,109,True,right,True,-0.02597
instance_0017_110.png,110,True,right,True,-0.01851
instance_0017_111.png,111,True,right,True,0.00536
instance_0017_112.png,112,True,right,True,-0.00305
instance_0017_113.png,113,True,right,True,0.0054
instance_0017_114.png,114,True,right,True,0.01429
instance_0017_115.png,115,True,right,True,0.01861
instance_0017_116.png,116,True,right,True,-0.01027
instance_0017_117.png,117,True,right,True,-0.03067
instance_0017_118.png,118,True,right,True,-0.04344
instance_0017_119.png,119,True,right,True,-0.07522
instance_0017_120.png,120,True,right,True,-0.08787
instance_0017_121.png,121,True,right,True,-0.0841
instance_0017_122.png,122,True,right,True,-0.07516
instance_0017_123.png,123,True,right,True,-0.06946
instance_0017_124.png,124,True,right,True,-0.07737
instance_0017_125.png,125,True,right,True,-0.07055
instance_0017_126.png,126,True,right,True,-0.06085
instance_0017_127.png,127,True,right,True,-0.05725
instance_0017_128.png,128,True,right,True,-0.03988
instance_0017_129.png,129,True,right,True,-0.03976
instance_0017_130.png,130,True,right,True,-0.0254
instance_0017_131.png,131,True,right,True,-0.03874
instance_0017_132.png,132,True,right,True,-0.06187
instance_0017_133.png,133,True,right,True,-0.06243
instance_0017_134.png,134,True,right,True,-0.06317
